"Gender not selected","Gender not selected"
"Birthday not selected","Birthday not selected"
"Birthday is invalid","Birthday is invalid"
"Provided date is not valid","Provided date is not valid"
"Internal invoice (InvoiceObserver) error","Internal invoice (InvoiceObserver) error"
"Invalid payment plan","Invalid payment plan"
"Please select installment send way","Please select installment send way"
"Invoice send way invalid address","Invoice send way invalid address"
"Provide information", "Provide information"
"Gender", "Gender"
"Date of birth", "Date of birth"
"Select invoice delivery method", "Select invoice delivery method"
"Place Order", "Place Order"
"Select payment plan", "Select payment plan"
"(T&C)", "(T&C)"
"Delivery method by E-Mail", "Delivery method by E-Mail"
"Delivery method by Post", "Delivery method by Post"
"DD.MM.YYYY", "DD.MM.YYYY"
"Company registration number", "Company registration number"
"Company registration number not provided", "Company registration number not provided"